S/N,ACTIVITIES DESCRIPTION (ITEM),DELEGATION NO. (QTY.), AMT NAIRA (ESTIMATED/UNIT PRICE),QTY.,"ADDITIONAL INFO.
(TOTAL COST)",REMARKS
(A.) HAEMATINICS ,,,,,,
181,Tab Folic acid 5mg x 1000 tabs,3 btls.,"2,875",3,"₦8,625.00",
182,Tab Zinc sulphate 20mg x 1000,10 btls.,"5,750",10,"₦57,500.00",
183,Cap Evening primerose pk of 30,20 pcks.,"14,375",20,"₦287,500.00",
(S.) OCCULAR PREPARATION,,,,,₦0.00,
184,Gutt. Chloramphenicol,20 btls. ,920,20,"₦18,400.00",
185,Gutt. Ciprofloxacin,20 btls.,"1,150",20,"₦23,000.00",
186,Gutt Antallarge,40 btls.,"2,875",40,"₦115,000.00",
187,Gutt Ketotifen,40 btls,0,40,₦0.00,
188,Gutt Tobramycin,25 btls,0,25,₦0.00,
(T.) INTRAVENOUS INFUSIONS/REHYDRATION SALT,,,,,₦0.00,
189,IVF 5% Dextrose Water 500mls,50 btls.,"1,725",50,"₦86,250.00",
190,IVF 50% Dextrose Water 100mls,50 btls.,"1,725",50,"₦86,250.00",
191,IVF 10% Dextrose Water 500mls,20 btls.,"1,725",20,"₦34,500.00",
192,IVF Normal saline 500mls,200 btls.,"1,725",200,"₦345,000.00",
193,IVF Ringers lactate 500mls,100 btls.,"1,955",100,"₦195,500.00",
194,IVF 5% Dextrose Saline 500mls,100 pcks.,"1,725",100,"₦172,500.00",
195,Oral Rehydration Salt,100 pcks.,690,100,"₦69,000.00",
196,IVF Half strength Darrows solution 500mls,50 btls.,"2,070",50,"₦103,500.00",
197,IVF 10% Mannitol 500mls,20 btls.,"2,070",20,"₦41,400.00",
(U.) ANTI-ANTICHOLINERGICS,,,,,₦0.00,
198,Inj Glycopyrollate 0.4mg pk of 10 vials ,5 pks,"7,475",5,"₦37,375.00",
199,Inj Atropine 0.5mg/5ml pk of 10 vials ,6 pks,"6,325",6,"₦37,950.00",
200,Tab Stugeron 25mg pk of 30,10 pcks.,"13,225",10,"₦132,250.00",
(V.) ANTI-LIPIDEMIC,,,,,₦0.00,
201,Tab Simvastatin 20mg pk of 30,50 pcks.,"2,875",50,"₦143,750.00",
202,Tab Atorvastatin 10mg pk of 30,100 pcks.,"3,450",100,"₦345,000.00",
203,Tabs Rosuvastatin 10mg pk of 30,50 pcks.,0,50,₦0.00,
EMERGENCY MEDICATION,,,,,,
204,Mobile Vaccine Fridge 60L ,1 pc,"275,000",1,"₦275,000.00",
205,IV Midazolam 3mg,Pack of 10,"38,000",2,"₦76,000.00",
206,IV Diazepam 5mg,Pack of 10,"6,350",2,"₦12,700.00",
207,IV Flumazenil 10mg,Pack of 10,"22,500",2,"₦45,000.00",
208,IV Ketamine 100mg,Pack of 6,"12,500",2,"₦25,000.00",
209,IV Propofol 100mg,Pack of 5,"38,700",3,"₦116,100.00",
210,IV Suxamethonium 100mg,Pack of 10,"14,300",2,"₦28,600.00",
211,IV Pancuronium 4mg,Pack of 10,"17,200",2,"₦34,400.00",
212,IV Neostigmine 0.4mg,Pack of 10,"8,500",2,"₦17,000.00",
213,IV Atropine 1mg,Pack of 10,"5,600",4,"₦22,400.00",
214,IV Adrenaline 1mg ,Pack of 10,4,4,₦16.00,
215,IV Ephedrine 5mg,Pack of 10,"36,500",2,"₦73,000.00",
216,50ml Syringe,For Infusion Pump; pk of 50,2,2,₦4.00,
217,20ml Syringe,For Medication Reconstitution; pk of 50,4,4,₦16.00,
218,IV Sterile Injection Water 10mls pk of 50,15 pcks.,,15,₦0.00,
219,IV Naloxone 2mg pk of 10 vials,4  pcks.,"4,280",15,"₦64,200.00",
220,S/C Naloxone 2mg,20  pcks.,"5,000",20,"₦100,000.00",
221,IV Adrenaline 1mg ,2 pcks.,"4,500",2,"₦9,000.00",
222,IV Lidocaine with Adrenaline 10mls vial,12 vials,"5,000",12,"₦60,000.00",
(W.) OTHERS,,,,,₦0.00,
223,Tab Hydroxylurea 500mg pk of 30,10 pcks.,"17,825",10,"₦178,250.00",
224,Dispensing envelops Small & Medium pk of 100,20 pcks.,"2,875",20,"₦57,500.00",
225,White Drug Dispensing Carry-Bag pk of 100 ,20  pcks.,"1,450",20,"₦29,000.00",
226,IV Soluset,20 pcs,"2,300",20,"₦46,000.00",
227,IVF Cannular sizes 18/20/22/24/26G; 3 of each pk of 50,15 pcks.,"14,375",15,"₦215,625.00",
228,IVF Giving set pk of 50,5 pcks.,"21,850",5,"₦109,250.00",
229,Dermazin cream,10 tubes,"4,600",10,"₦46,000.00",
230,Penicillin Ointment 20g,25 tubes,0,25,₦0.00,
231,Calamine lotion,20 btls.,"1,035",20,"₦20,700.00",
232,Sudocream,4  tubes,"10,350",4,"₦41,400.00",
233,Vaseline b/s,6 tubes,"5,175",6,"₦31,050.00",
234,KY jelly,6 tubes,"17,480",6,"₦104,880.00",
235,Lignocaine gel,10 tubes,"7,475",10,"₦74,750.00",
236,Wosan iodine Ointment ,40 tubes,"2,250",40,"₦90,000.00",
237,Wosan iodine 2L,10 btls.,0,10,₦0.00,
(X.) ROUTINE VACCINES,,,,,,
238,Tetanus Toxoid ,20,"21,500",50,"₦1,075,000.00",
239,Hepatitis B Vaccine ,10,"23,000",50,"₦1,150,000.00",
240,Meningitis Vaccine,10,"28,750",100,"₦2,875,000.00",
241,Typhoid Vaccine ,10,"17,250",50,"₦862,500.00",
242,Yellow Fever Vaccine (single dose),10,"23,000",100,"₦2,300,000.00",
243,Cholera Vaccine ,10,"17,250",50,"₦862,500.00",
